user_id,signup_dt,channel,plan,company_size,connected_source,reached_first_dashboard,invited_teammate,retained_w4,active_weeks
81,2025-03-31T18:31:00,organic_search,free,1-10,0,0,0,0,0
82,2025-01-14T19:14:00,referral,free,1000+,0,0,0,0,0
83,2025-01-07T13:58:00,paid_ads,team,11-50,0,0,0,0,0
84,2025-03-27T22:35:00,content,free,1000+,0,0,0,0,0
85,2025-03-20T22:27:00,content,team,11-50,0,0,0,0,0
86,2025-03-02T20:16:00,content,team,201-1000,0,0,0,0,0
87,2025-03-08T21:40:00,organic_search,free,11-50,0,0,0,0,0
88,2025-01-31T14:21:00,content,free,11-50,0,0,0,0,0
89,2025-01-30T18:44:00,organic_search,free,1-10,0,0,0,0,0
90,2025-02-12T20:26:00,paid_ads,free,201-1000,0,0,0,0,0
91,2025-03-16T06:54:00,paid_ads,team,11-50,0,0,0,0,1
92,2025-02-15T15:48:00,paid_ads,free,201-1000,1,1,1,1,3
93,2025-03-10T13:31:00,content,free,11-50,0,0,0,0,0
94,2025-02-13T18:46:00,organic_search,free,11-50,0,0,0,0,0
95,2025-03-21T06:58:00,organic_search,free,11-50,0,0,0,0,0
96,2025-03-24T19:08:00,organic_search,team,1-10,0,0,0,0,0
97,2025-02-11T12:29:00,organic_search,free,51-200,0,0,0,0,0
98,2025-02-23T14:53:00,paid_ads,free,1-10,1,1,1,1,3
99,2025-02-14T13:41:00,paid_ads,free,1000+,0,0,0,0,0
100,2025-01-04T13:12:00,organic_search,team,11-50,1,1,0,1,3
101,2025-03-02T09:36:00,organic_search,business,11-50,0,0,0,0,0
102,2025-02-17T11:38:00,organic_search,free,51-200,0,0,0,0,0
103,2025-01-21T15:06:00,organic_search,free,201-1000,0,0,0,0,0
104,2025-02-18T18:45:00,referral,free,11-50,0,0,0,0,0
105,2025-02-01T09:44:00,content,team,201-1000,0,0,0,0,0
106,2025-01-16T07:22:00,referral,free,51-200,0,0,0,0,0
107,2025-03-24T16:00:00,organic_search,team,51-200,0,0,0,0,1
108,2025-02-16T20:45:00,organic_search,free,1-10,1,0,0,0,2
109,2025-03-25T14:39:00,paid_ads,team,11-50,0,0,0,0,0
110,2025-02-25T14:20:00,paid_ads,team,201-1000,0,0,0,0,0
111,2025-02-27T13:48:00,organic_search,free,11-50,0,0,0,0,0
112,2025-01-04T21:54:00,paid_ads,free,11-50,0,0,0,0,0
113,2025-02-03T16:17:00,paid_ads,team,51-200,0,0,0,0,0
114,2025-01-02T22:12:00,organic_search,free,51-200,1,1,1,1,3
115,2025-01-31T21:41:00,paid_ads,team,11-50,0,0,0,0,0
116,2025-02-07T13:25:00,organic_search,free,1-10,0,0,0,0,1
117,2025-03-02T22:22:00,referral,free,51-200,0,0,0,0,0
118,2025-03-31T20:17:00,paid_ads,free,1-10,1,1,1,1,4
119,2025-02-10T09:47:00,content,free,51-200,1,1,0,1,3
120,2025-01-28T21:17:00,organic_search,team,1000+,0,0,0,0,0
121,2025-02-06T09:53:00,paid_ads,free,1-10,0,0,0,0,0
122,2025-01-02T10:17:00,organic_search,free,1-10,0,0,0,0,0
123,2025-01-17T21:06:00,organic_search,team,11-50,0,0,0,0,0
124,2025-02-26T16:11:00,paid_ads,business,1-10,0,0,0,0,0
125,2025-01-15T08:25:00,content,free,11-50,0,0,0,0,0
126,2025-01-20T10:51:00,referral,free,1-10,0,0,0,0,0
127,2025-01-16T19:38:00,outbound,free,11-50,1,1,0,0,1
128,2025-02-18T20:58:00,content,free,201-1000,0,0,0,0,0
129,2025-02-09T07:39:00,outbound,business,1-10,0,0,0,0,0
130,2025-03-22T12:16:00,content,free,1-10,0,0,0,0,0
131,2025-01-10T11:00:00,organic_search,free,51-200,0,0,0,0,0
132,2025-01-05T13:18:00,paid_ads,team,51-200,0,0,0,0,0
133,2025-03-29T13:59:00,paid_ads,free,51-200,0,0,0,0,0
134,2025-01-26T19:07:00,referral,free,51-200,0,0,0,0,0
135,2025-01-19T08:03:00,outbound,free,1-10,0,0,0,0,0
136,2025-03-14T15:28:00,content,free,51-200,0,0,0,0,0
137,2025-02-04T22:34:00,referral,free,1-10,0,0,0,0,0
138,2025-02-25T16:38:00,organic_search,free,1-10,1,1,0,1,3
139,2025-03-15T06:48:00,outbound,free,1-10,1,1,0,1,3
140,2025-01-23T21:33:00,organic_search,free,201-1000,0,0,0,0,1
141,2025-03-16T19:40:00,organic_search,team,1000+,0,0,0,0,0
142,2025-02-22T16:20:00,paid_ads,free,201-1000,0,0,0,0,0
143,2025-03-30T21:18:00,paid_ads,free,11-50,0,0,0,0,0
144,2025-01-05T20:05:00,content,free,1-10,1,1,1,1,4
145,2025-02-21T22:52:00,outbound,business,51-200,0,0,0,0,0
146,2025-02-22T07:12:00,paid_ads,free,11-50,0,0,0,0,0
147,2025-02-26T07:13:00,paid_ads,free,1-10,0,0,0,0,0
148,2025-03-31T21:07:00,organic_search,free,51-200,0,0,0,0,0
149,2025-04-01T11:19:00,content,free,11-50,0,0,0,0,0
150,2025-01-15T20:07:00,organic_search,free,1-10,1,1,1,1,2
151,2025-02-07T22:45:00,outbound,free,201-1000,0,0,0,0,0
152,2025-02-01T20:35:00,outbound,free,1-10,0,0,0,0,0
153,2025-01-18T08:17:00,referral,team,201-1000,0,0,0,0,0
154,2025-03-06T14:52:00,paid_ads,free,51-200,0,0,0,0,1
155,2025-03-16T21:55:00,content,free,11-50,0,0,0,0,0
156,2025-03-12T18:29:00,paid_ads,business,201-1000,0,0,0,0,0
157,2025-01-31T18:14:00,outbound,team,11-50,1,1,0,1,2
158,2025-03-02T18:24:00,paid_ads,business,51-200,0,0,0,0,0
159,2025-01-20T21:02:00,referral,free,1000+,0,0,0,0,0
160,2025-01-13T20:06:00,paid_ads,free,11-50,0,0,0,0,0
161,2025-02-22T10:04:00,content,free,1000+,0,0,0,0,1
162,2025-03-30T18:41:00,paid_ads,free,1-10,0,0,0,0,0
163,2025-03-10T18:20:00,referral,free,201-1000,0,0,0,0,0
164,2025-03-11T07:39:00,paid_ads,free,51-200,1,0,0,1,2
165,2025-01-30T08:27:00,outbound,business,51-200,0,0,0,0,0
166,2025-01-13T20:10:00,content,free,201-1000,1,1,0,1,1
167,2025-01-08T15:22:00,organic_search,free,1-10,1,1,1,1,3
168,2025-03-14T11:10:00,paid_ads,free,11-50,0,0,0,0,0
169,2025-03-29T13:31:00,paid_ads,team,1-10,0,0,0,0,0
170,2025-02-02T20:16:00,paid_ads,free,201-1000,0,0,0,0,0
171,2025-02-06T11:04:00,paid_ads,free,1-10,0,0,0,0,0
172,2025-03-23T19:44:00,referral,free,201-1000,0,0,0,0,0
173,2025-02-19T21:06:00,organic_search,free,11-50,1,0,0,1,3
174,2025-03-31T15:01:00,referral,business,51-200,0,0,0,0,0
175,2025-03-14T07:58:00,organic_search,free,11-50,0,0,0,0,0
176,2025-02-06T13:38:00,outbound,team,1-10,0,0,0,0,0
177,2025-02-02T10:40:00,organic_search,free,11-50,0,0,0,0,0
178,2025-02-26T07:37:00,organic_search,free,1-10,0,0,0,0,0
179,2025-02-11T19:11:00,outbound,free,51-200,0,0,0,0,0
180,2025-02-16T22:32:00,content,team,201-1000,1,1,1,0,3
181,2025-03-03T15:47:00,organic_search,team,51-200,0,0,0,0,0
182,2025-01-10T10:48:00,paid_ads,business,201-1000,0,0,0,0,0
183,2025-02-20T17:05:00,content,team,1-10,0,0,0,0,0
184,2025-02-28T17:43:00,paid_ads,team,1-10,0,0,0,1,1
185,2025-03-23T17:06:00,paid_ads,free,11-50,0,0,0,0,0
186,2025-03-13T16:58:00,referral,free,51-200,0,0,0,0,0
187,2025-03-01T15:41:00,referral,free,1-10,0,0,0,0,1
188,2025-02-08T21:07:00,outbound,free,201-1000,1,1,0,1,3
189,2025-02-28T17:42:00,organic_search,business,51-200,0,0,0,0,0
190,2025-03-17T10:56:00,paid_ads,free,1-10,0,0,0,0,0
191,2025-02-22T14:02:00,paid_ads,free,1-10,0,0,0,0,0
192,2025-01-31T17:06:00,paid_ads,business,11-50,0,0,0,0,0
193,2025-03-24T17:03:00,outbound,free,1-10,0,0,0,0,0
194,2025-02-28T08:42:00,organic_search,free,51-200,0,0,0,0,0
195,2025-01-07T16:15:00,outbound,business,51-200,0,0,0,0,0
196,2025-03-12T12:37:00,organic_search,free,201-1000,0,0,0,0,0
197,2025-01-19T06:17:00,paid_ads,team,1-10,0,0,0,0,0
198,2025-02-02T11:07:00,organic_search,free,1-10,0,0,0,0,0
199,2025-01-31T16:01:00,organic_search,free,1-10,0,0,0,0,0
200,2025-03-09T09:47:00,content,free,11-50,0,0,0,0,0
201,2025-03-17T09:28:00,paid_ads,free,201-1000,0,0,0,0,0
202,2025-03-26T22:19:00,organic_search,free,1000+,0,0,0,0,0
203,2025-03-03T18:27:00,organic_search,free,11-50,1,1,1,1,4
204,2025-01-10T08:20:00,outbound,free,1-10,0,0,0,0,0
205,2025-03-23T16:24:00,organic_search,business,11-50,0,0,0,0,0
206,2025-03-19T19:06:00,paid_ads,team,1-10,0,0,0,0,0
207,2025-03-12T12:27:00,referral,free,1-10,0,0,0,0,0
208,2025-02-28T18:26:00,paid_ads,team,1-10,0,0,0,0,0
209,2025-02-02T17:09:00,paid_ads,free,11-50,0,0,0,0,0
210,2025-01-11T08:27:00,organic_search,free,51-200,1,1,1,0,2
211,2025-03-13T07:37:00,content,business,11-50,0,0,0,0,0
212,2025-02-22T17:55:00,referral,free,51-200,0,0,0,1,1
213,2025-01-07T15:38:00,content,free,1-10,0,0,0,0,0
214,2025-01-20T21:14:00,paid_ads,team,11-50,1,1,1,1,2
215,2025-01-15T14:36:00,referral,free,11-50,0,0,0,0,0
216,2025-03-21T06:38:00,referral,business,51-200,1,1,1,1,2
217,2025-01-24T14:44:00,organic_search,team,201-1000,0,0,0,0,0
218,2025-01-24T10:36:00,paid_ads,free,1-10,0,0,0,0,0
219,2025-01-04T08:47:00,content,free,11-50,0,0,0,0,0
220,2025-01-21T17:19:00,paid_ads,team,51-200,0,0,0,0,0
221,2025-01-11T07:09:00,referral,free,11-50,1,1,1,0,1
222,2025-02-04T20:42:00,referral,free,11-50,0,0,0,0,0
223,2025-01-28T22:07:00,paid_ads,free,1-10,0,0,0,0,0
224,2025-03-17T21:33:00,referral,free,1-10,0,0,0,0,0
225,2025-03-18T07:00:00,paid_ads,free,201-1000,0,0,0,0,0
226,2025-02-02T15:20:00,content,free,11-50,1,1,0,1,1
227,2025-01-17T18:34:00,paid_ads,team,11-50,0,0,0,0,0
228,2025-02-15T08:25:00,content,team,1-10,0,0,0,0,0
229,2025-01-10T16:36:00,organic_search,free,11-50,1,1,1,0,2
230,2025-02-07T09:25:00,referral,free,1-10,0,0,0,0,0
231,2025-03-21T20:53:00,content,free,11-50,0,0,0,0,0
232,2025-01-14T13:27:00,paid_ads,free,11-50,0,0,0,0,0
233,2025-02-09T16:14:00,paid_ads,free,1-10,1,1,0,0,1
234,2025-01-15T22:32:00,paid_ads,free,51-200,0,0,0,0,0
235,2025-03-24T10:15:00,paid_ads,free,1-10,0,0,0,0,0
236,2025-01-20T08:11:00,organic_search,business,11-50,1,1,0,1,3
237,2025-03-14T20:43:00,paid_ads,business,11-50,0,0,0,0,0
238,2025-03-21T16:55:00,referral,business,1-10,1,1,0,1,1
239,2025-03-02T20:40:00,paid_ads,free,1-10,0,0,0,0,0
240,2025-03-06T08:19:00,organic_search,free,1-10,0,0,0,0,0
241,2025-02-06T08:41:00,paid_ads,team,201-1000,0,0,0,0,0
242,2025-03-06T18:29:00,referral,free,1000+,1,1,0,1,4
243,2025-01-06T20:58:00,content,team,51-200,0,0,0,0,0
244,2025-03-02T22:09:00,paid_ads,business,11-50,1,1,1,0,1
245,2025-02-13T08:32:00,content,free,1-10,0,0,0,0,0
246,2025-02-26T22:33:00,content,free,11-50,0,0,0,0,1
247,2025-02-19T19:49:00,outbound,free,11-50,1,0,0,0,1
248,2025-03-24T16:04:00,content,free,11-50,0,0,0,0,0
249,2025-02-02T10:21:00,paid_ads,free,51-200,0,0,0,0,0
250,2025-02-09T18:08:00,outbound,free,201-1000,0,0,0,0,0
251,2025-02-18T16:52:00,paid_ads,free,51-200,0,0,0,0,0
252,2025-03-29T22:05:00,outbound,free,11-50,0,0,0,0,0
253,2025-02-16T15:11:00,paid_ads,business,1-10,0,0,0,0,0
254,2025-01-25T13:08:00,content,free,1-10,0,0,0,0,0
255,2025-03-06T22:02:00,content,free,201-1000,1,1,1,0,0
256,2025-03-18T18:09:00,referral,free,201-1000,0,0,0,1,1
257,2025-01-22T20:02:00,content,free,51-200,0,0,0,0,0
258,2025-02-26T15:48:00,organic_search,team,11-50,0,0,0,0,0
259,2025-02-09T21:57:00,paid_ads,team,11-50,0,0,0,0,0
260,2025-02-26T20:49:00,outbound,free,11-50,0,0,0,1,1
261,2025-01-21T12:51:00,paid_ads,free,201-1000,0,0,0,0,0
262,2025-03-03T17:35:00,organic_search,business,51-200,1,1,0,0,1
263,2025-01-16T15:05:00,paid_ads,team,1-10,0,0,0,1,1
264,2025-01-19T19:05:00,outbound,business,1-10,1,1,1,0,1
265,2025-02-14T06:26:00,paid_ads,free,11-50,0,0,0,0,0
266,2025-01-11T17:14:00,organic_search,free,201-1000,0,0,0,0,0
267,2025-03-25T16:50:00,content,free,1-10,0,0,0,0,0
268,2025-03-02T10:48:00,outbound,team,11-50,0,0,0,0,0
269,2025-01-11T06:16:00,organic_search,free,1-10,0,0,0,0,0
270,2025-03-19T22:27:00,outbound,free,1-10,0,0,0,0,0
271,2025-01-07T13:26:00,paid_ads,free,11-50,0,0,0,0,0
272,2025-03-05T06:40:00,organic_search,free,1-10,0,0,0,0,1
273,2025-02-24T06:39:00,organic_search,free,11-50,0,0,0,0,0
274,2025-03-27T08:33:00,organic_search,business,1-10,0,0,0,0,0
275,2025-03-06T22:35:00,paid_ads,free,201-1000,0,0,0,0,0
276,2025-02-19T17:16:00,organic_search,team,11-50,0,0,0,0,0
277,2025-01-31T09:49:00,organic_search,free,51-200,0,0,0,0,0
278,2025-02-15T16:52:00,organic_search,free,201-1000,1,1,1,1,4
279,2025-03-31T21:40:00,referral,free,1-10,0,0,0,0,0
280,2025-02-28T07:18:00,content,free,51-200,0,0,0,0,0
281,2025-02-10T15:32:00,content,free,51-200,0,0,0,0,0
282,2025-01-05T12:18:00,paid_ads,free,51-200,0,0,0,0,0
283,2025-02-12T14:07:00,content,team,11-50,0,0,0,0,0
284,2025-02-26T18:21:00,paid_ads,business,11-50,0,0,0,0,0
285,2025-03-08T14:51:00,paid_ads,free,11-50,0,0,0,0,0
286,2025-01-24T15:20:00,paid_ads,free,1-10,0,0,0,0,0
287,2025-02-27T19:10:00,organic_search,free,11-50,0,0,0,0,0
288,2025-02-15T19:17:00,organic_search,free,51-200,0,0,0,0,0
289,2025-03-27T18:23:00,organic_search,free,51-200,0,0,0,0,0
290,2025-01-04T10:54:00,organic_search,free,51-200,0,0,0,0,0
291,2025-01-09T13:49:00,organic_search,free,11-50,0,0,0,0,0
292,2025-01-05T10:43:00,outbound,free,11-50,0,0,0,1,1
293,2025-01-10T10:33:00,paid_ads,free,1-10,0,0,0,0,0
294,2025-01-15T06:47:00,organic_search,free,11-50,0,0,0,0,0
295,2025-01-16T14:49:00,outbound,free,11-50,0,0,0,0,1
296,2025-02-06T21:12:00,outbound,free,201-1000,1,0,0,1,2
297,2025-02-26T08:51:00,paid_ads,free,201-1000,0,0,0,0,0
298,2025-02-14T08:35:00,paid_ads,free,201-1000,0,0,0,0,0
299,2025-04-01T11:50:00,content,free,1-10,0,0,0,0,0
300,2025-01-18T13:50:00,outbound,free,11-50,0,0,0,0,0
301,2025-03-01T10:39:00,referral,team,1-10,1,1,1,0,2
302,2025-03-03T22:26:00,paid_ads,team,51-200,0,0,0,0,0
303,2025-02-10T08:28:00,organic_search,free,11-50,0,0,0,0,0
304,2025-03-12T11:49:00,organic_search,business,11-50,0,0,0,0,1
305,2025-01-08T09:33:00,outbound,free,1-10,0,0,0,0,0
306,2025-04-01T13:22:00,paid_ads,business,11-50,0,0,0,1,1
307,2025-01-11T14:12:00,organic_search,free,11-50,0,0,0,0,0
308,2025-02-08T08:32:00,organic_search,free,11-50,0,0,0,0,0
309,2025-01-22T16:53:00,referral,business,1-10,1,1,1,0,1
310,2025-01-11T07:41:00,content,team,1-10,1,1,1,1,2
311,2025-03-15T19:39:00,organic_search,free,11-50,0,0,0,0,0
312,2025-02-07T15:30:00,referral,free,51-200,0,0,0,0,0
313,2025-02-28T08:44:00,paid_ads,free,11-50,0,0,0,0,0
314,2025-01-27T16:38:00,paid_ads,free,201-1000,0,0,0,0,0
315,2025-02-14T18:08:00,paid_ads,team,11-50,0,0,0,0,0
316,2025-01-31T20:07:00,organic_search,free,1-10,1,1,1,1,2
317,2025-02-07T18:55:00,organic_search,free,1-10,0,0,0,0,0
318,2025-01-21T16:59:00,content,free,1-10,0,0,0,0,0
319,2025-03-05T22:29:00,content,free,1-10,0,0,0,0,0
320,2025-02-20T22:29:00,organic_search,business,1-10,0,0,0,0,0
321,2025-01-07T15:31:00,paid_ads,free,201-1000,0,0,0,0,0
322,2025-02-06T06:54:00,referral,free,1-10,0,0,0,0,0
323,2025-02-16T18:23:00,organic_search,free,1-10,1,1,1,0,1
324,2025-02-16T15:04:00,referral,free,11-50,0,0,0,0,1
325,2025-03-21T09:08:00,paid_ads,business,11-50,0,0,0,0,0
326,2025-02-13T17:48:00,content,free,11-50,0,0,0,0,0
327,2025-01-06T07:02:00,paid_ads,free,1-10,1,1,1,1,2
328,2025-02-28T10:38:00,paid_ads,team,1-10,1,1,1,0,2
329,2025-02-10T11:25:00,outbound,business,51-200,0,0,0,0,0
330,2025-02-13T22:53:00,organic_search,free,11-50,0,0,0,0,0
331,2025-03-02T06:23:00,referral,free,1-10,1,1,0,1,3
332,2025-02-09T06:38:00,paid_ads,free,1000+,0,0,0,0,0
333,2025-03-16T13:46:00,content,free,11-50,0,0,0,0,0
334,2025-03-21T18:09:00,paid_ads,team,1-10,0,0,0,0,0
335,2025-03-31T09:12:00,referral,free,1-10,1,1,1,1,4
336,2025-03-30T12:26:00,organic_search,free,11-50,0,0,0,0,0
337,2025-01-08T10:33:00,paid_ads,free,1-10,1,1,1,1,2
338,2025-03-09T18:20:00,referral,business,11-50,1,1,0,0,3
339,2025-03-11T17:43:00,paid_ads,team,51-200,0,0,0,0,0
340,2025-03-30T14:39:00,referral,free,1000+,1,1,1,1,4
341,2025-02-08T13:19:00,organic_search,team,51-200,0,0,0,0,0
342,2025-03-04T16:30:00,referral,free,201-1000,0,0,0,0,0
343,2025-02-05T15:07:00,content,free,11-50,0,0,0,0,0
344,2025-02-20T17:49:00,content,team,1-10,0,0,0,0,0
345,2025-01-11T17:59:00,organic_search,free,1-10,0,0,0,0,0
346,2025-01-26T14:59:00,paid_ads,free,1-10,1,1,1,0,3
347,2025-03-17T13:15:00,organic_search,free,201-1000,0,0,0,0,0
348,2025-01-30T07:06:00,organic_search,free,51-200,1,1,1,0,2
349,2025-01-18T06:35:00,organic_search,business,1-10,1,1,0,0,1
350,2025-03-02T21:41:00,referral,free,1000+,0,0,0,0,1
351,2025-03-24T07:58:00,paid_ads,team,51-200,1,1,0,0,2
352,2025-01-05T11:26:00,organic_search,team,1-10,0,0,0,0,0
353,2025-02-20T21:11:00,outbound,business,1000+,0,0,0,0,0
354,2025-01-05T06:19:00,outbound,free,1-10,1,1,1,0,2
355,2025-02-06T20:41:00,outbound,free,11-50,0,0,0,0,0
356,2025-03-06T20:17:00,outbound,free,1-10,0,0,0,0,0
357,2025-02-28T14:45:00,organic_search,free,51-200,0,0,0,0,0
358,2025-03-14T12:11:00,content,free,51-200,0,0,0,0,1
359,2025-02-24T22:20:00,paid_ads,free,51-200,0,0,0,0,0
360,2025-01-18T21:20:00,organic_search,business,1-10,0,0,0,0,0
361,2025-02-27T14:21:00,paid_ads,free,51-200,0,0,0,0,0
362,2025-03-25T17:44:00,organic_search,free,51-200,0,0,0,0,0
363,2025-01-21T18:43:00,paid_ads,free,201-1000,0,0,0,0,0
364,2025-02-09T09:40:00,content,team,1-10,0,0,0,0,0
365,2025-01-29T10:30:00,referral,free,51-200,1,1,1,1,3
366,2025-02-23T21:48:00,referral,free,51-200,1,1,0,0,2
367,2025-02-01T08:33:00,organic_search,free,51-200,0,0,0,0,0
368,2025-03-14T09:03:00,organic_search,team,201-1000,0,0,0,0,0
369,2025-03-10T10:10:00,organic_search,free,11-50,1,1,1,0,3
370,2025-01-27T21:05:00,organic_search,team,11-50,0,0,0,0,0
371,2025-01-17T22:26:00,organic_search,free,1-10,0,0,0,0,0
372,2025-02-09T06:25:00,paid_ads,free,1-10,1,1,0,0,2
373,2025-01-10T07:27:00,organic_search,free,1-10,0,0,0,0,0
374,2025-01-09T21:02:00,outbound,free,1-10,0,0,0,0,0
375,2025-03-24T19:23:00,organic_search,business,11-50,0,0,0,0,0
376,2025-02-18T18:05:00,content,free,51-200,0,0,0,0,0
377,2025-03-25T17:07:00,paid_ads,free,11-50,1,1,0,0,2
378,2025-01-29T06:48:00,paid_ads,free,1-10,1,0,0,0,0
379,2025-03-11T19:34:00,referral,free,1-10,0,0,0,0,0
380,2025-01-20T14:12:00,paid_ads,business,51-200,0,0,0,0,0
381,2025-03-26T19:39:00,organic_search,team,201-1000,0,0,0,0,0
382,2025-01-27T08:06:00,organic_search,free,11-50,1,1,1,0,3
383,2025-01-07T13:47:00,referral,free,11-50,1,1,0,0,2
384,2025-01-08T10:32:00,paid_ads,business,1-10,0,0,0,0,0
385,2025-03-15T16:36:00,outbound,free,51-200,0,0,0,0,0
386,2025-02-08T10:42:00,paid_ads,free,11-50,0,0,0,0,1
387,2025-03-13T11:40:00,organic_search,free,11-50,0,0,0,0,0
388,2025-02-14T18:50:00,organic_search,free,51-200,1,1,0,0,2
389,2025-02-08T18:11:00,paid_ads,team,11-50,0,0,0,0,0
390,2025-02-08T10:51:00,content,free,1-10,0,0,0,1,1
391,2025-02-23T22:08:00,paid_ads,free,1-10,0,0,0,0,0
